no;FileTrail Line_ID;Exploration Archives Line Name;Open Works LINE;SURVEY - for 3D lines
1;LINE_ID;98MA03-08;JM87-082C;cap_draa_dup_4test
2;BB-0017;98MA03-09;98TAF-04;cap_fold
3;BB-0018;98MA03-09A;98CG213;capdraa
4;BB-0013;98MA03-09B;98CG215;eama01_3d
5;EM-0129;98MA03-10;E-KA-15;eama01_3d_x2
6;98AN002-18;98MA03-11;E-KA-11;rimella_fstrk_3d
7;98AN019-14;98MA03-11A;E-KA-15VEXT;CapDraa
8;98AN023-13;98MA03-14A;98TAF-01;rimella_3d
9;98AN107-06;98MA03-16;98TAF-03;CapDraa_
10;98AN019-14;98MA03-17;E-ESO-EM-15;CapDraa_3d
11;98AN002-18;98MA03-17A;98TAF-06;Cap_Draa_ph1_and_2
12;98CG010-04;98MA03-18;AR08-2;Cap_draa
13;98CG015-07;98MA03-19;AR19-2;Morocco3d_CGG
14;98CG113-26;98MA03-20A;D-85LK31;Moroco_SEGY_tests
15;98CG-004-01;98MA03-20D;D-87KA66;
16;98CG208-29;98MA03-20E;JM87-046;
17;98CG003-20;98MA03-21;98AN002-18;
18;98CG001-19;98MA03-22;LD-382;
19;98CG006-02;98MA03-23;LD-383;
20;98CG002-18;98MA03-23A;98AN004-19;
21;98CG117-16;98MA03-23B;98AN006-23;
22;98CG112-28;98MA03-24;98AN003-04;
23;98AN015-16;98MA03-25;98CG011;
24;98AN107-06;98MA03-26;LD-384;
25;98CG115-10;98MA03-26A;LD-385;
26;98CG213-27;98MA03-27;LD-385_1;
27;98CG-004-01;98MA03-28;LD-367;
28;98CG-005-21;98MA03-29;LD-386A;
29;98CG-007-24;98MA03-29A;SM91-39;
30;98CG-011-25;98MA03-29B;SM91-41A;
31;98CG-015-07;98MA03-30;SM91-43;
32;98CG-023-13;98MA03-31;SM91-45;
33;98CG019-17;98MA03-32;SM91-47;
34;98CG113-26;98MA03-33;LD-386B_1;
35;98CG021-14;98MA03-12;LD-388;
36;98CG-110-05;98MA03-12A;LD-389A;
37;98CG215-15;98MA03-13;LD-389B;
38;;98MA03-14;98CG014;
39;;98MA03-15;SM91-41;
40;;98MA03-15A;LD-389C;
41;;98MA03-01;LD-397;
42;;98MA03-02;MO-01-001;
43;;98MA03-03;MO-01-002;
44;;98MA03-04A;LD-379;
45;;98MA03-05;MO-01-003;
46;;98MA03-06;E-90-LK-51;
47;;98MA03-06A;98AN001-03;
48;;98MA03-07;LD-380;
49;RIMELLA_3D;99MA01-10;D-KA19V;
50;RIMELLA_3D;99MA01-11;D-KA2;
51;RIMELLA_3D;99MA01-11A;RS-302;
52;RIMELLA_3D;99MA01-12;SEM_05;
53;RIMELLA_3D;99MA01-12A;D-KA18V;
54;RIMELLA_3D;99MA01-12B;D-KA20V;
55;RIMELLA_3D;99MA01-13;D-KA25V;
56;RIMELLA_3D;99MA01-14;D-KA25VE;
57;RIMELLA_3D;99MA01-14A;D-KA27;
58;RIMELLA_3D;99MA01-15;D-90LK50;
59;RIMELLA_3D;99MA01-15A;E-SEM-3;
60;RIMELLA_3D;99MA01-16;E-SPA-SP83-04;
61;RIMELLA_3D;99MA01-16A;E-SPA-SP83-06;
62;SHARK-B1_3D;99MA01-17;SM91-01;
63;SHARK-B1_3D;99MA01-17A;E-SPA-SP83-09;
64;SHARK-B1_3D;99MA01-17C;E-SPA-SP83-14;
65;SHARK-B1_3D;99MA01-18;E-SPA-SP83-20;
66;SHARK-B1_3D;99MA01-18A;E-SPA-SP83-07;
67;SHARK-B1_3D;99MA01-19;E-TAU-83-05;
68;SHARK-B1_3D;99MA01-20;E-TAU-86-17A;
69;SMO91-49;99MA01-20A;E-TAU-86-2;
70;SMO91-49;99MA01-21;RS-168;
71;SMO91-49;99MA01-21A;RS-169;
72;SMO91-51;99MA01-21C;RS-170;
73;SMO91-51;99MA01-41;E-83MMO-33;
74;SMO91-51;99MA01-41A;E-83MMO-35;
75;SMO91-51;99MA01-42;D-KA16VB;
76;RIMELLA_3D;99MA01-43;D-KA18S;
77;RIMELLA_3D;99MA01-43A;SM91-21;
78;RIMELLA_3D;99MA01-44;SM91-19;
79;RIMELLA_3D;99MA01-44A;SM91-12;
80;RIMELLA_3D;99MA01-45;83MMO-22;
81;RIMELLA_3D;99MA01-46;SM91-23;
82;RIMELLA_3D;99MA01-46A;SM91-25;
83;RIMELLA_3D;99MA01-31;83MMO-14;
84;RIMELLA_3D;99MA01-32;83MMO-15;
85;RIMELLA_3D;99MA01-33;WCI-6;
86;RIMELLA_3D;99MA01-33A;PC-9277-86;
87;RIMELLA_3D;99MA01-33B;PC-9277-86;
88;RIMELLA_3D;99MA01-33C;PC-9279-86;
89;SMO91-01;99MA01-33D;PC-9280-86;
90;SMO91-01;99MA01-33E;E-KA-34;
91;SMO91-01;99MA01-34;E-LK-11;
92;SMO91-01;99MA01-34C;RS-140A;
93;SMO91-02;99MA01-46B;83MMO-01;
94;SMO91-02;99MA01-47;E-E99MA01-42;
95;SMO91-02;99MA01-48;83MMO-02;
96;SMO91-53;99MA01-49;83MMO-03;
97;SMO91-53;99MA01-49A;83MMO-04;
98;SMO91-53;99MA01-50;PC-9274-86;
99;SMO91-53;99MA01-51;PC-9275A-86;
100;SP-83-20;99MA01-52;E-EM-224;
101;SP-83-20;99MA01-52A;E-EM-228;
102;SP-83-20;99MA01-52B;E-EM-232;
103;RIMELLA_3D;99MA01-35;E-EM-236;
104;RIMELLA_3D;99MA01-35A;SM91-03;
105;RIMELLA_3D;99MA01-36A;SM91-04;
106;RIMELLA_3D;99MA01-36B;SM91-06;
107;RIMELLA_3D;99MA01-36C;PC-9276-86;
108;RIMELLA_3D;99MA01-37;SM91-07;
109;RIMELLA_3D;99MA01-37A;SM91-08;
110;RIMELLA_3D;99MA01-37B;SM91-09;
111;RIMELLA_3D;99MA01-38;SM91-10;
112;RIMELLA_3D;99MA01-38A;SM91-11;
113;RIMELLA_3D;99MA01-38B;D-KA28V;
114;RIMELLA_3D;99MA01-38C;D-KA29;
115;RIMELLA_3D;99MA01-39;ROCM98-16;
116;SMO91-02;99MA01-39A;83MMO-25;
117;SMO91-03;99MA01-39B;WCI-1;
118;SMO91-03;99MA01-40A;WCI-2;
119;SMO91-03;99MA01-53;WCI-4;
120;SMO91-03;99MA01-53A;86-JK-12;
121;SMO91-04;99MA01-21E;86-JK-13;
122;SMO91-04;99MA01-22;86-JK-14;
123;SP-83-20;99MA01-23;RS-155;
124;SP-83-20;99MA01-24;RS-157;
125;SP-83-21;99MA01-24A;82-GR-36;
126;SP-83-21;99MA01-25;82-GR-37;
127;SP-83-21;99MA01-26;82-GR-37;
128;SP-83-21;99MA01-27;82-GR-38;
129;SP-83-22;99MA01-27A;82-GR-38;
130;RIMELLA_3D;99MA01-28;83MMO-28;
131;RIMELLA_3D;99MA01-28A;83MMO-30;
132;RIMELLA_3D;99MA01-29A;D-PR2;
133;RIMELLA_3D;99MA01-29C;D-87KA64;
134;RIMELLA_3D;99MA01-30;E-E99MA01-33;
135;RIMELLA_3D;99MA01-30A;E-E99MA01-34;
136;RIMELLA_3D;99MA01-01;E-E99MA01-35;
137;RIMELLA_3D;99MA01-02;E-E99MA01-36;
138;RIMELLA_3D;99MA01-03;SM91-31;
139;RIMELLA_3D;99MA01-04;E-E99MA01-22;
140;RIMELLA_3D;99MA01-05;83MMO-50;
141;RIMELLA_3D;99MA01-06;E-E99MA01-23;
142;RIMELLA_3D;99MA01-07A;83MMO-53;
143;SMO91-04;99MA01-08;E-E99MA01-21;
144;SMO91-04;99MA01-08B;LD-386B;
145;SMO91-05;99MA01-09;98CG003;
146;SMO91-05;EM315;SM91-29;
147;SMO91-05;EM316;MO-01-320;
148;SMO91-05;EM318;E-E99MA01-37;
149;SMO91-06;9247_86;E-E99MA01-38;
150;SP-83-22;9250_86;E-E99MA01-39;
151;SP-83-22;9260_86;E-E99MA01-40;
152;SP-83-22;EM301;E-E99MA01-41;
153;SP-83-23-1;EM302;E-E99MA01-43;
154;SP-83-23-1;EM304;TA-04;
155;SP-83-23-1;EM305;TA-06;
156;SP-83-23-1;EM306;TA-07;
157;RIMELLA_3D;EM307;TA-08;
158;RIMELLA_3D;EM308;TA-09;
159;RIMELLA_3D;EM309;TA-10;
160;RIMELLA_3D;EM310;TA-14;
161;RIMELLA_3D;EM311;ENT-E98MA03-06;
162;RIMELLA_3D;EM312;ENT-E98MA03-07;
163;RIMELLA_3D;EM313;ENT-E98MA03-08;
164;RIMELLA_3D;EM314;84-GR-13;
165;RIMELLA_3D;LDU-LD-365;84-GR-13;
166;RIMELLA_3D;LDU-LD-366;84-GR-14;
167;RIMELLA_3D;LDU-LD-364B;E-E99MA01-44;
168;RIMELLA_3D;LDU-LD-367;E-E99MA01-45;
169;RIMELLA_3D;LDU-LD-368;E-E99MA01-46;
170;SMO91-06;LDU-LD-369;E-E99MA01-47;
171;SMO91-06;LDU-LD-370;E-E99MA01-48;
172;SMO91-06;LDU-LD-371;E-E99MA01-49;
173;SMO91-07;LDU-LD-372;E-E99MA01-50;
174;SMO91-07;LDU-LD-373;MO-01-109;
175;SMO91-07;LDU-LD-374;MO-01-110;
176;SMO91-07;LDU-LD-375;ENT-E98MA03-09;
177;SP-83-24A;LDU-LD-376;ENT-E98MA03-10;
178;SP-83-24A;LDU-LD-377;ENT-E98MA03-11;
179;SP-83-24A;LDU-LD-378;ENT-E98MA03-12;
180;SP-83-24A;LDU-LD-379;84-GR-14;
181;SP-83-25;LDU-LD-380;84-GR-15;
182;SP-83-25;LDU-LD-381;TA-17;
183;SP-83-25;LDU-LD-384;TA-18;
184;RIMELLA_3D;LDU-LD-382;TZ-01;
185;RIMELLA_3D;LDU-LD-383;TZ-02;
186;RIMELLA_3D;LDU-LD-386A;TZ-03;
187;RIMELLA_3D;LDU-LD-385;TZ-04;
188;RIMELLA_3D;LDU-LD-386B;TZ-06;
189;RIMELLA_3D;LDU-LD-387;MO-01-115;
190;RIMELLA_3D;LDU-LD-388;MO-01-116;
